,제목,개봉년도,요약,줄거리
228,로스트: 희생부활자,2021,,
229,론 서바이버 : 아미 오브 원,2021,,
230,루카,2021,"바다 밖은 위험해?! 아니, 궁금해!","이탈리아 리비에라의 아름다운 해변 마을,바다 밖 세상이 궁금하지만, 두렵기도 한 호기심 많은 소년 '루카'자칭 인간세상 전문가 ‘알베르토’와 함께 모험을 감행하지만,물만 닿으면 바다 괴물로 변신하는 비밀 때문에 아슬아슬하기만 하다.새로운 친구 ‘줄리아’와 함께 젤라또와 파스타를 실컷 먹고스쿠터 여행을 꿈꾸는 여름은 그저 즐겁기만 한데…과연 이들은 언제까지 비밀을 감출 수 있을까?함께라서 행복한 여름,우리들의 잊지 못할 모험이 시작된다!"
231,루프,2021,그녀는 죽었고...옥상 위에서 떨어진 범인은 사라졌다!,"세상 둘도 없는 사랑하는 연인을 눈 앞에서 잃은 물리학자 다니엘은 바로 그 날, 잔혹한 사건이 있기 직전으로 시간을 되돌릴 수 있는 방법을 알아내고 목숨을 건 위험한 시간 여행을 떠나게 된다. 과거로 돌아가면 쉽게 잡을 수 있을 줄 알았던 범인의 실체는 그러나 점점 묘연해져만 가는데 ..."
232,리멤버,2021,,
233,리벤지 오브 인사이트,2021,,
234,리본,2021,,
235,리스타트,2021,,
236,리스펙트,2021,“내가 부르고 싶은 노래를 부를래요”,내면의 폭풍을 이겨낸 강한 여자 세상을 바꾸고 영혼을 위로한 환상의 디바 아레사 프랭클린.  그녀의 노래가 울려 퍼진다!
237,리슨,2021,,
238,리얼생존예능 펀하우스,2021,24시간 전세계 생중계! 리얼생존예능 ‘펀하우스’ 런칭!,"우승상금 5백만 달러가 걸린 온라인 리얼생존예능에세계 각지의 한물간 셀럽들이 모인다.참가자 8명은 ‘펀하우스’라는 공간에서자신의 모든 것을 여과없이 전세계 시청자들에게 보여주게 되고,이를 본 시청자들은 3일마다 투표를 통해 탈락자와 다음 도전과제를 정한다.광란의 3일을 보내고 첫 번째 탈락자가 정해진 순간,참가자들은 탈락이 곧 죽음을 의미하는 것임을 목격한다.실체를 드러내는 펀하우스,지금부터 생존을 위한 질펀한 예능이 시작된다!"
239,리유니언,2021,“네가 돌아오길 기다렸단다”,"고대 흑마술을 연구하는 학자 ‘엘리’는 출산 준비를 위해 오랜만에 집으로 돌아온다.엄마 ‘아이비’는 딸을 반갑게 맞이하지만 두 사람 사이엔 뭔지 모를 무거운 기류가 흐른다.시간이 멈춘 듯 낡은 집은 봉인된 기억을 깨우고‘엘리’ 앞에 죽은 자매 ‘카라’가 나타나면서 끔찍한 악몽이 되살아난다.“우리, 이번엔 진짜 가족이 되는 거야”"
240,리틀 조,2021,꽃이 피고 사람들이 이상해졌다,"싱글맘이자 새로운 식물품종을 만들어내는 연구원 앨리스. 아들을 돌보며 꽃박람회 출품을 야심 차게 준비하고 있던 그녀는 사람들을 행복하게 해주는 식물을 배양해내는 데 성공하고, 아들의 이름을 따라 '리틀 조'라고 이름 붙인다.자신의 연구가 성공했다고 믿는 앨리스는 아직 승인도 나지 않은 식물 리틀 조를 아들 조에게 선물한다. 혼자 보내는 시간이 많던 조는 화분에 말도 걸고 물도 주며 리틀 조를 극진히 돌본다. 그러나 마침내, 리틀 조가 꽃을 피우기 시작하자 조는 전과 다른 말과 행동을 보이며 점점 낯선 존재가 되어가기 시작하는데…아름다움에 현혹되지 마라"
241,리틀드래곤 코코넛2: 정글대탐험,2021,전설의 자이언트 드래곤과 워터 드래곤이 살고 있는 모험과 신비 가득한 몬스터 정글로 다 함께 출발~!,"날마다 눈을 뜨면 특별한 모험과 마법이 기다리고 있는 신비의 섬 드래곤 아일랜드. 이곳에 사는 개구쟁이 리틀드래곤 코코넛은 친구 오스카, 마틸다와 함께 난생 처음 가는 방학 캠프 여행에 들떠있다. 하지만 목적지에 다다르기도 전에 그만 암초에 걸려 배가 침몰하게 되면서 워터 드래곤들이 사는 정글 속으로 떨어지고 만다. 정글에는 무엇이든 닥치는 대로 집어삼키는 몬스터 식물과 자이언트 드래곤이 살고 있는데…  코코넛과 친구들의 짜릿하고 스릴 넘치는 정글 어드벤처가 펼쳐진다!"
242,링: 더 라스트 챕터,2021,"반복되는 죽음, 끝나지 않은 소설  “이 페이지를 열겠습니까?”","심리학 전공의 대학생 ‘샤누’는 다급하게 걸려온 사촌 ‘탕징’과의 통화가 끊기자 그녀를 찾아가지만, 이미 싸늘한 시체로 발견된다.  ‘샤누’는 의문의 죽음을 밝히기 위해 초자연 현상을 연구하는 ‘마밍’을 찾아가고, 두 사람은 ‘탕징’이 죽기 전 써내려 간 인터넷 소설의 내용과 동일한 방법의 살인사건이 연달아 발생하고 있다는 사실을 알게 된다.  죽은 ‘탕징’을 대신한 누군가에 의해 계속 업데이트 되는 소설. 절대 벗어날 수 없는 숨막히는 저주가 시작되는데.."
243,마네킹,2021,,
244,마라가 큰 결정을 해야 해,2021,,
245,마를린,2021,,
246,마리오네트,2021,"끔찍한 교통사고, 거대한 홍수… 소년이 그리면 현실이 된다!","아동 심리치료사 메리언은 매니라는 특별한 9살 소년을 돌보게 된다.  항상 말없이 그림만 그리던 매니는 계속된 메리언의 관심에 자신이 미래를 통제할 수 있다고 말한다.  매니를 믿지 않았던 메리언 앞에 매니가 그린 그림들이 하나 둘 현실이 되자, 그녀는 모두가 감춘 소년의 비밀을 파헤치기 시작하는데…"
247,마이 뉴욕 다이어리,2021,,
248,마이 미씽 발렌타인,2021,,
249,마지막 대전투: 전장의 영웅들,2021,,
250,마크맨,2021,그가 가진 것은 트럭 한 대와 총 한 자루!  한 소년을 지키기 위한 목숨 건 추격전이 시작된다!,"최고의 사격수였다가 은퇴한 군인 ‘짐’(리암 니슨)은 애리조나 국경 지역을 지키며 조용한 말년을 보내고 있다. 어느 날, 우연히 멕시코 마약 카르텔에 쫓기는 모자를 구해주지만 무자비한 놈들의 공격에 소년의 어머니가 숨을 거둔다. 소년을 시카고에 있는 친척에게 데려가 달라는 그녀의 마지막 부탁을 외면할 수 없었던 ‘짐’은 길을 나서고 마약 카르텔의 표적이 되어 숨막히는 추격전을 벌이는데…"
251,마피아 Inc,2021,,
252,만델라 이펙트,2021,딸을 찾는 아빠의 평행 차원 탐험! 어딘가 또 다른 현실이 존재한다면?,"해변에서 휴가를 보내던 중,‘브렌던’의 사랑하는 딸 ‘샘’이 파도에 휩쓸려 실종된다.장례까지 치렀지만 그는 딸의 죽음을 받아들이지 못한다.우연히 알게 된 ‘만델라 이펙트’를 통해‘브랜던’은 딸이 죽은 것이 아니라또 다른 차원으로 이동한 것이라는 확신을 얻게 되고점점 더 깊이 그 이론에 빠져들게 된다.시뮬레이션 이론의 권위자 ‘훅스’ 박사로부터차원 이동에 대한 방법을 전해 들은 그는딸을 찾기 위해 새로운 차원의 설계를 시도하게 되는데…"
253,말리그넌트,2021,"살인이 계속될수록 더 가까이 다가온다, 당신 뒤로","폭력 남편의 죽음 이후, 연쇄 살인 현장이 보이기 시작했다! 그리고 어릴 적 상상 속의 친구 ‘가브리엘’이 진짜로 나타나는데… “가브리엘, 넌 대체 누구야?”"
254,매드 마더,2021,,
255,매직 스쿨: 초보마법사 아우라의 대모험,2021,,
256,매직아치,2021,무엇을 상상하든! 무엇을 원하든!  소원을 이뤄주는 신비한 매직아치!,"깊은 바닷 속 소심한 돌고래 ‘델피’는 오래 전 모험을 떠난 아버지에게 들은 숨겨진 도시를 찾기 위한 탐험 중 원하는 것으로 변신시켜주는 ‘매직아치’를 발견하게 된다.  한편, 시시탐탐 피쉬타운을 노리던 곰치들은 ‘매직아치’의 존재를 알게 되자 ‘매직아치’를 이용해 피쉬타운을 차지하려 하는데…  과연 델피는 피쉬타운의 평화를 지키고 용감한 돌고래가 될 수 있을까?"
257,매트릭스: 리저렉션,2021,,
258,맥스 피스트,2021,,
259,맨 온 더 로드,2021,,
260,맨 인 더 다크 2 ,2021,,
261,머룬 베레: 보이지 않는 전사,2021,"오늘, 우리의 희생이 조국의 자랑스런 역사가 될 것이다!",터키 정보국은 IS조직을 소탕한다는 명분 하에 미국이 시리아 쿠르드 민병대에게 제공한 미사일 탄두 두 개가 탈취당했다는 사실과 이를 주도한 조직이 미사일 탄두를 터키에 반입하려는 음모가 있다는 기밀 정보를 확인하고 이를 막기 위해 메흐메트 대위가 이끄는 머룬 부대 최정예 팀을 작전에 투입한다. 연일 내전에 시달리고 있는 시리아의 아프린 지역으로 향한 메흐메트와 그의 팀은 미사일 탄두를 탈취한 조직이 이를 이용해 터키를 궁지에 몰아넣으려는 계획을 실행하고 있음을 확인하고 이 조직의 뒤를 쫓기 시작하는데...
262,머룬 베레: 이름없는 영웅,2021,오늘 우리의 반역이 조국을 구하게 될 것이다!,"2016년, 터키 군사 쿠데타가 실패로 돌아간 후 특수부대 머룬 베레의 최정예 팀을 이끌고 있는 메흐메트 대위는 사령부로부터 터키 국경지역에서 세력을 확장하고 있는 테러조직의 정보를 수집하라는 명령을 받고 그들이 활동하고 있는 지역으로 급파된다. 예상과 달리 손쉽게 정보를 확보한 메흐메트 대위와 그의 팀은 사령부로 복귀하던 중 갑작스런 적들의 공격을 받게 되자 이번 작전에 어딘지 의심스러운 점이 있음을 직감하는데..."
263,멀리가지마라,2021,,
264,메이드 인 루프탑,2021,,
265,메이드 인 이태리,2021,이탈리아 토스카나가 선물한 마법 같은 시간!,오랫동안 비어있던 집을 팔기 위해 아름다운 토스카나에서 뜻밖의 한 달 살기를 시작한 아버지와 아들  이탈리아에서의 낭만적인 일상이 잊고 있던 두 사람의 행복을 되찾아주고 새로운 사랑도 가져다 주는데…  우리 여기서 다시 시작할까요?
266,메이헴,2021,"짜증을 부르는 그 이름, 직장상사(死)! 더 이상 참지 말자! 내 안의 분노가 대.폭.발 한다!","후배를 쥐 잡듯이 잡아먹는 동료, 사장의 딸랑이를 자처하는 상사.이 지긋지긋한 일상에서 어느새 자신 역시 일의 노예가 되어버린 ‘데릭’(스티븐 연).상사의 음모로 회사에서 억울하게 잘린 그가 짐을 챙겨 나가던 그때,정부에서 사람들이 ‘분노 바이러스’에 감염되었다며 회사 건물을 봉쇄하기 시작한다.감염 증세가 사라지고 봉쇄가 해제되기까지 남은 시간은 8시간!‘데릭’은 드디어 직장상사(死)에게 복수할 기회가 왔다고 생각하는데…바이러스 감염 시 살인, 폭행 등 법적 책임 면제?!당신을 대리만족 시켜줄짜릿한 오피스 킬링 액션이 시작된다!"
267,명탐정 코난: 비색의 탄환,2021,"위험천만한 아카이 일가, 대집결!  그들이 모두 모일 때, 운명은 뒤바뀐다!","전 세계인의 축제 WSG(World Sports Games)의 개최를 앞둔 일본. 이를 기념해 시속 1,000km를 자랑하는 진공 초전도 리니어의 개통이 발표된다. 모두가 이를 주목하는 가운데, WSG의 공식 후원사 대표들이 연쇄 납치를 당하고, 코난은 이 사건이 15년 전 미국 보스턴에서 발생한 WSG 연쇄 납치 사건과 관련이 있다는 것을 밝혀내는데… 이를 지켜보는 아카이 슈이치와 FBI, 그리고 절대로 만나서는 안 될 위험천만한 가족이 모인다.  시속 1,000km로 질주하는 진공 초전도 리니어, 범인과의 목숨을 건 마지막 결판이 펼쳐진다!"
268,명탐정 코난: 진홍의 수학여행,2021,,
269,모가디슈,2021,,
270,모든 걸 걸었어,2021,,
271,모리타니안,2021,"전세계를 충격에 빠뜨린 실화! 재판을 원하는 한 남자! 그는 테러리스트인가, 무고한 피해자인가!","변호사 ‘낸시’(조디 포스터)는 모두가 꺼리는 한 남자의 변호를 맡게 된다. 그는 9.11 테러의 핵심 용의자로 지목되어 기소는 물론, 재판도 없이 6년 동안 수용소에 수감되어 있는 ‘슬라히’(타하르 라힘) 냉정하고 완고하기로 소문난 군검찰관 ‘카우치’(베네딕트 컴버배치)는 강력한 증거들을 내밀며 그의 유죄를 확신하고 그의 무죄를 주장하는 ‘낸시’와 동료 ‘테리’(쉐일린 우들리)는 국가 기밀이란 이유로 은폐된 진실 앞에서 번번이 좌절하는데..."
272,모사드: 인질구출작전,2021,,
273,모추어리 컬렉션,2021,모든 ‘시체’는 이야기를 가지고 있다!,"기괴한 분위기의 늙은 장의사 ‘몽고메리 다크’.어느 날, 당돌한 소녀 ‘샘’이 나타나그에게 조수로 일하게 해달라고 부탁한다.다크와 계약을 한 샘은그가 겪은 가장 무서운 이야기를 해달라고 조르고,다크는 영안실 시체에 얽힌 끔찍하고 뒤틀린 세 가지 이야기를 들려준다.모든 이야기를 들은 샘은아무에게도 하지 않았던자신의 이야기를 하기 시작하는데…죽기 전까지 멈출 수 없는 기이한 판타지가 펼쳐진다!"
274,모탈 컴뱃,2021,"R등급 액션의 신화, 피니시!",어스렐름과 아웃월드의 최강 챔피언들이 지구의 운명을 걸고 벌이는 서바이벌 대혈전 모탈 컴뱃. MMA 격투 선수 콜 영은 대전을 앞두고 선택 받은 전사들을 사전에 제거하려는 서브제로의 공격을 받는다. 지구와 가족을 보호하고 자기 혈통의 비밀을 알아내기 위해 모탈 컴뱃 토너먼트에 참가해 죽음의 전투를 치러야 한다!
275,몬스터 헌터,2021,몬스터의 사냥감이 될 것인가? 맞설 것인가?,UN합동 보안 작전부 아르테미스 대위(밀라 요보비치)는 행방불명된 팀원들을 찾기 위해 나서지만 실종된 그들과 같은 이상 현상으로 거대 몬스터의 세계로 빠진다. 하지만 눈앞에 닥친 강력한 몬스터들의 습격으로 유일한 생존자가 된 그녀는 몬스터 헌터(토니 자)와 마주하게 되는데…   다시 인류의 세계로 돌아갈 수 있는 방법은 단 하나.  몬스터와 맞서 반드시 살아남아야 한다!
276,몬스터 헌터2: 혈투대전,2021,,
277,몬테크리스토: 더 뮤지컬 라이브,2021,"정의는 갖는 자의 것, 사랑은 주는 자의 것!","175년을 관통해 전 세계인의 마음을 훔친 소설 '몬테크리스토 백작'을 원작으로 한 뮤지컬 실황 영화!2010년 국내 초연 이래 50만 관객에게 사랑 받아온 뮤지컬 흥행 대작 '몬테크리스토' 극장판!아름다운 연인 메르세데스와 결혼을 앞둔 에드몬드 단테스의 장밋빛 미래는 하루아침에 악몽이 되어버렸다.배신과 탐욕, 위선으로 비롯된 모함은 촉망받던 젊은 선원 에드몬드 단테스의 미래를 송두리째 앗아가고,악명 높은 샤토 디프 섬의 감옥에 갇혀 장장 14년의 지옥 같은 세월을 보내게 한다.몬데고의 ‘배신’, 당글라스의 ‘탐욕’, 빌포트의 ‘위선’끝이 보이지 않는 감옥살이 중 에드몬드는 같은 감옥에 투옥되어 있던 파리아 신부를 만나 철학, 정치,검술 등을 배우고 그 과정에서 자신의 악몽이 몬데고, 당글라스, 빌포트에 의한 것이었음을 깨닫는다.정의의 실현이 복수뿐이라면……분노에 휩싸인 에드몬드는 복수를 결심하고, 파리아 신부는 “복수심은 자신을 망칠 뿐임”을 경고한다.탈출을 준비하던 중 심각한 부상을 입은 파리아 신부는 죽게 되는데, 숨을 거두기 전 에드몬드에게몬테크리스토 섬의 보물 지도를 건네며 ‘용서와 가난한 자를 위한 새 삶’을 부탁한다.그러나 보물을 발견하고 엄청난 부를 손에 쥔 에드몬드는 ‘몬테크리스토 백작’으로 신분을 바꾸고 복수를 시작하는데……140분 동안 펼쳐지는 사랑과 복수, 용서의 대서사시가 8K 시네마틱 카메라 14대의 온-스테이지 밀착 촬영으로 담아낸역동적인 관람 뷰와 영화관 최적화 사운드 편집으로 대극장보다 섬세하게, 대극장보다 생생하게 살아난다."
278,몽키킹5 절대신공,2021,,
279,뫼비우스,2021,,
280,무간귀도,2021,간악한 음모를 파헤쳐라!,"명나라 말, 염당 조직의 일원인 ‘형강봉’은 천한 신분에서 벗어나 자유를 찾기 위해부현의 우두머리 격인 ‘조통’의 심부름꾼을 자처하며 살아간다.살해 용의자 독룡방 방주를 처단하는 임무를 마지막으로 떠나려면 ‘형강봉’은‘조통’과 그를 둘러싼 관리들이 관직과 재물을 탐하는 간악한 음모를 꾸민다는 사실을 알게 되고,‘형강봉’은 자유를 위해, 백성을 위해 그들을 처단하기로 마음 먹는데…"
281,무녀도,2021,,
282,무림팔선,2021,,
283,"무순, 세상을 가로질러",2021,,
284,묵향,2021,,
285,뮤턴트 워,2021,새로운 돌연변이의 탄생,실험에 의해 인간병기로 길러진 존재 ‘뮤턴트’ 실험실을 탈출하여 각지로 숨은 ‘뮤턴트’를 붙잡기 위해 최정예 특수부대가 비밀작전에 나선다.  강력한 파워를 가진 알파 뮤턴트는 자신의 힘을 키우기 위해 뮤턴트들을 살해하기 시작하고  인류를 위협하는 알파 뮤턴트를 막기 위해 특수부대는 A급 뮤턴트와 손을 잡는데…  생존을 건 전쟁이 시작된다!
286,뮤턴트 워: 다크 히어로의 부활,2021,,
287,뮤턴트 파이톤,2021,,
288,미국대전쟁,2021,,
289,미나리,2021,어느 한국 가족의 원더풀한 이야기,"""미나리는 어디서든 잘 자라""  낯선 미국, 아칸소로 떠나온 한국 가족. 가족들에게 뭔가 해내는 걸 보여주고 싶은 아빠 '제이콥'(스티븐 연)은 자신만의 농장을 가꾸기 시작하고 엄마 '모니카'(한예리)도 다시 일자리를 찾는다.  아직 어린 아이들을 위해 ‘모니카’의 엄마 ‘순자’(윤여정)가 함께 살기로 하고 가방 가득 고춧가루, 멸치, 한약 그리고 미나리씨를 담은 할머니가 도착한다.  의젓한 큰딸 '앤'(노엘 케이트 조)과 장난꾸러기 막내아들 '데이빗'(앨런 김)은 여느 그랜마같지 않은 할머니가 영- 못마땅한데…  함께 있다면, 새로 시작할 수 있다는 희망으로 하루하루 뿌리 내리며 살아가는 어느 가족의 아주 특별한 여정이 시작된다!"
290,미드나이트,2021,"""소리를 들을 수 없는 목격자, 연쇄살인마의 타겟이 되다!""","청각장애를 가진 '경미'는 귀가하던 길에 피를 흘리며 쓰러져 있는 '소정'을 목격하고,그녀를 도와주려다 연쇄살인마 '도식'의 새로운 타겟이 된다.살고 싶다는 의지로 미친듯이 도망치는 '경미' 하지만 살인마의 발소리조차 들을 수 없고,'도식'은 또 다른 얼굴로 나타나 경미를 위협하는데...한밤중, 서울 한복판에서 펼쳐지는 연쇄살인마와 그의 타겟이 된 '경미'의 멈출 수 없는 추격전!극강의 음소거 추격 스릴러가 온다!"
291,미드나잇 버스,2021,“긴 밤을 지나면 어김없이 아침이 기다린다”,"니가타와 도쿄를 왕복하는 심야 고속버스 운전기사 ‘리이치’ 니가타에 살고 있는 그는 도쿄에서 식당을 운영하는 애인 ‘시호’ 와의 만남을 가지며 소소한 일상을 보낸다. 어느 날, 도쿄에 사는 아들 ‘레이지’가 직장을 그만두고 니가타로 돌아오고, ‘리이치’가 운행하는 버스에 16년 전 이혼한 아내 ‘미유키’가 승차하는데… 흔들리는 인생의 기로에서 다시 만난 이들은 과연 어디로 향하게 될까?"
292,미션 임파서블: 루벤,2021,,
293,미션 파서블,2021,,
294,미스,2021,"""미스 프랑스에 나갈 거예요""","동네 복싱장에서 청소부로 일하며 지긋지긋한 매일을 보내던 알렉스.우연히 초등학교 동창을 만나고, 자신의 오랜 꿈을 기억해낸다. 좌충우돌 미스 프랑스 도전기! 한계를 뛰어넘은 당당한 발걸음이 시작된다"
295,미스캡틴 : 섹시 히어로즈,2021,,
296,미스터 존스,2021,,
297,미스피츠,2021,이것이 ‘미스피츠’가 보여줄 참/교/육 이다!,"절도는 물론, 탈옥에도 일가견이 있는 범죄자 ‘페이스’. 그에게 뜻밖의 제안이 들어온다. 변장에 능한 ‘링고’, 폭탄전문가 ‘윅’, 암살자 ‘바이올렛’, 물주 ‘프린스’, 그리고 ‘페이스’의 딸이자 이번 작전의 기획자 ‘호프’까지, 그들과 함께 테러 자금을 대는 교도소장 ‘슐츠’의 아부다비 교도소에 숨겨진 금을 털자는 것이다.  스스로 사회 부적응자, 즉 ‘미스피츠’라 이름 지은 그들은 세상 나쁜 놈들에게 사이다 한 방을 날리기 위해 아부다비로 향하는데…"
298,미씽: 사라진 딸,2021,,
299,미인도-황제의 시녀,2021,,
300,미켈란젤로,2021,,
301,미트 페어런츠-비기닝,2021,,
302,바다 탐험대 옥토넛 : 육지수호 대작전,2021,"옥토넛, 이번 임무는 육지다!","바다 폭풍에 휩쓸린 옥토넛은 우연히 사막에 상륙한다. 바다 너머 육지에도 다양한 문제들이 있음을 알게 된 옥토넛. ‘옥토 요원’으로 새 친구 ‘포니’가 합류하고, 옥토포드 조종사 ‘대쉬’는 새로운 탐험선 ‘옥토레이’에 탑승해 사상최초 육지수호 대작전을 이끄는데... 해안부터 사막까지, 깊은 바다에서 높은 산 정상까지! 옥토넛의 새로운 모험이 지금 시작된다!"
303,바디 브로커,2021,미국 약물 중독 치료시설의 충격적인 실체가 드러난다!,"마약에 찌들어 범죄를 일삼던 '유타'는 자신의 삶에 지쳐가던 찰나 마약 중독 치료 센터를 알선해 주는 '우드'를 만난다. 자신의 삶을 바꾸기 위해 치료 센터에서 마약을 끊은 '유타'는 '우드'와 함께 일을 하게 되고, 이곳이 마약 중독자를 치료해주는 척하며 정부의 지원금을 받아 뒤로는 마약을 알선해주고 있었다는 사실을 알게 되는데... 이제 마약 중독자로 재테크하라!"
304,바람아 안개를 걷어가다오,2021,,
305,바바 야가 검은 가시 마녀,2021,저주받은 검은 가시 나무의 숲누구도 살아 나올 수 없다!,세인트 페테스부르크 북쪽의 빽빽하고 불길한 검은 가시나무 숲. 지난 30년 동안 수많은 사람들이 실종되었고 발견된 몇 구의 시체는 발가벗겨진 상태였다. 지역 주민들은 가시 나무숲에 과거 잔혹하게 살해당한 검은 가시 마녀의 저주라고 믿고 있다. 2017년 10월 14일 산림 감시 자원봉사 팀은 실종된 10대를 찾기 위해 바로 그 숲으로 들어갔고 모든 의사소통이 끊겼다. 생존을 위한 처절한 몸부림과 미지의 존재와의 사투가 피 말리는 공포와 함께 벌어진다.
306,바바 야가: 숲의 악령,2021,"깨어난 슬라브 마녀,아이들이 사라지고 기억은 지워진다","특별한 기운을 느끼는 소년 “예고르”새로 온 유모의 수상한 행동을 알아챈다.여동생이 사라지고 부모님은 동생을 기억조차 못한다.마을 아이들이 하나씩 사라지고, 단서를 추적하기 시작하는데…마침내 전설 속 슬라브 마녀가 존재를 나타낸다.모든 기억이 사라지기 전에 반드시 아이들을 찾아야 한다!"
307,바바리안,2021,,
308,바이러스 Z: 백신 대참사,2021,,
309,바이올린 플레이어,2021,거부할 수 없는 욕망의 끝미혹의 선율에 몸을 맡기다,세계적인 바이올리니스트였지만불의의 교통사고로 더 이상 연주를 할 수 없게 된 '카린'이루지 못한 꿈 때문에 지독한 갈증을 느끼던 그녀는처음 맡게 된 제자 '앙티'의 천재성에 사로잡혀자신의 그릇된 욕망을 드러내기 시작하는데...
310,바이크 솔저,2021,최정예 바이크 솔저의 질주가 시작된다!,"모터사이클 부대 창설 소식에 군에 자원한 천재 레이서 ‘베넷’.아프가니스탄의 불독 아웃포스트, ‘베넷’은 빠른 바이크로 적의 배후를 타격하며 수많은 작전에서 활약한다.하지만 그를 겨냥한 지뢰 공격에 허리와 다리에 큰 부상을 입게 되고큰 수술과 원치 않는 의병 제대까지 하게 된 그.엎친 데 덮친 격으로 몰랐던 가족의 경제적 위기까지 알게 된 ‘베넷’은 처음이자 마지막으로가족 그리고 자기 자신을 위해 다시 바이크 레이스의 세계로 뛰어드는데…"
311,바이킹: 블러드 워,2021,,
312,바쿠라우,2021,,
313,박강아름 결혼하다,2021,,
314,반딧불이 딘딘과 용감한 곤충 탐험대,2021,“어렵고 힘든 일이 생겼을 땐 여러분의 신호등을 밝혀줘요!”,"숲속 마을 친구들이 위험에 빠지면 언제나 나타나는 용감한 반딧불이 딘딘과 숲속 탐험대. 탐사 로봇 오로라가 우주에서 가져온 최첨단 신호등은 숲속 친구들 사이에서 인기 만발이다.  하지만 불빛을 위협 신호로 받아들이는 나방 부족 추장은 딘딘과 친구들을 공격하고, 외계 행성에서 나타난 붉은 로봇 군단이 숲속 마을 친구들을 모두 잡아가려 하는데… 과연 딘딘과 친구들은 무사할 수 있을까?  반딧불이 딘딘과 곤충 탐험대의 빛나는 모험이 시작된다!"
315,발란 : 버려진 천사들의 무덤,2021,,
316,발신제한,2021,"평범한 출근길, 의문의 발신번호 표시제한 전화 한 통, “지금 당신의 의자 밑에는 폭탄이 설치되어 있습니다”","은행센터장 성규(조우진)는 아이들을 차에 태우고 출발한 평범한 출근길에  한 통의 발신번호 표시제한 전화를 받는다.  전화기 너머 의문의 목소리는 차에 폭탄이 설치되어 있고,  자리에서 일어날 경우 폭탄이 터진다고 경고하는데…  의문의 전화를 보이스피싱이라고 대수롭지 않게 여기던 성규는  곧 회사 동료의 차가 같은 방식으로 폭파되는 것을 바로 눈 앞에서 목격하고,  졸지에 부산 도심 테러의 용의자가 되어 경찰의 추격을 받게 된다.  내리면 폭탄이 터지는 절체절명의 순간,  경찰의 추격 속 의문의 발신자와의 전화마저 끊을 수 없는 상황에 놓이게 되는데…!"
317,밤빛,2021,,
318,방법: 재차의,2021,,
319,방황하는 네덜란드인,2021,,
320,배드 헤어,2021,,
321,배틀 크랙,2021,살아남기 위한 우주 최후의 서바이벌!,"2242년, 기하급수적으로 늘어난 인구로 인해 더 이상 지구에서의 생존이 불가능하다 판단한 인류는 제2의 지구로 이주를 진행한다.  마지막 선별 인원들을 태운 헤라클레스 호가 출발하고 우주 항해 도중 선원들이 하나둘씩 사라지면서, 모두가 혼란에 빠진다.  이에 사건을 조사하던 ‘클레이’(브루스 윌리스)와 동료들은 우주선에 ‘다른 존재’가 있다는 사실과 함께, 인류의 멸망을 불러올 충격적인 비밀을 알게 되는데..."
322,배틀로얄 : 러버스,2021,"눈을 뜨면, 죽음의 게임이 시작된다!",납치된 학생들이 낯선 건물에 감금당한 채 죽음의 게임을 강요 받는다.더 복잡해진 게임의 룰 속에서 학생들은 하나 둘 희생되고게임을 운영하는 운영자들에 대한 정보를 얻게 된 학생들은그들의 정체를 알게 된다.하지만 죽음의 게임에서 벗어 날 수는 없는데…
323,배틀로얄 : 매드랜드,2021,미치지 않으면 살아남을 수 없다!,"다시 시작된 죽음의 생존 게임.살기 위해 친구를 죽여야 하는 생존 게임에서모에는 최대한 친구들을 희생 시키 않으려 노력한다.하지만 결국 모에는 타깃이 되어 죽음의 위기에 처한다.하지만 마지막 순간,모에는 모두를 깜짝 놀라게 할 선택을 하는데…"
324,배틀필드 2025,2021,"예상치 못한 순간 마주친 의문의 존재,  그대로 당할 것인가?","어느 날 미국 애리조나 주 사막 한가운데 떨어진 유성. 주변에서 캠핑을 즐기던 사람들, 호송차량에서 도망친 범죄자들, 평화로운 오후를 보내던 젊은 연인이 이 유성에 이끌린 듯 우연히 한자리에 모인다.  이윽고 그들은 자신들이 목격한 유성 충돌이 실은 지구를 노리는 의문의 외계 생명체들이 침공한 것임을 깨닫게 되고, 삶을 위협하는 이들의 공격에 맞서 싸우게 되는데…"
325,뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,2021,,
326,뱅드림! 로젤리아 에피소드Ⅰ: 약속,2021,,
327,뱅드림! 필름 라이브 세컨드 스테이지,2021,,
328,뱅퀴시,2021,"단 하룻밤, 5번의 픽업을 완수하라!","국가 영웅이었던 전직 경찰국장은 도시를 장악한 5대 조직과 사건에 휘말린다.그는 마약 운반책이었으나 손을 씻은 그녀의딸을 볼모로 잡고 위험한 미션을 제안한다.단 하룻밤, 5대 조직으로부터 5번의 픽업을 하라!그녀의 킬러 본능이 폭발하고, 도시는 전쟁으로 치닫는데…오늘 밤, 그녀의 분노가 폭주한다!"
329,버스납치,2021,,
330,범죄도시: 나쁜놈들 전성시대,2021,,
